location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
39784,1000,,,Shipley,Road,,New Castle County,1000 Shipley Rd,,Wilmington,Delaware,19803,DE,"1000 SHIPLEY RD, WILMINGTON, DE 19803",39.78247836082147,-75.51967750563927,POINT (-75.51967750563927 39.78247836082147),"1000,  Shipley Road , Wilmington, New Castle County, Delaware, 19803, United States"
39785,2813,West,,17th,Street,,New Castle County,2813 W 17Th St,,Wilmington,Delaware,19806,DE,"2813 W 17TH ST, WILMINGTON, DE 19806",39.76548389205936,-75.57781182563915,POINT (-75.57781182563915 39.76548389205936),"2813,West  17th Street , Wilmington, New Castle County, Delaware, 19806, United States"
39786,2501,,,Pike Creek,Road,,New Castle County,2501 Pike Creek Rd,,Wilmington,Delaware,19808,DE,"2501 PIKE CREEK RD, WILMINGTON, DE 19808",39.71757860602716,-75.68850063594716,POINT (-75.68850063594716 39.71757860602716),"2501,  Pike Creek Road , Wilmington, New Castle County, Delaware, 19808, United States"
39787,1390,,,Red Lion,Road,,New Castle County,1390 Red Lion Rd,,Bear,Delaware,19701,DE,"1390 RED LION RD, BEAR, DE 19701",39.59727357332514,-75.67123449067194,POINT (-75.67123449067194 39.59727357332514),"1390,  Red Lion Road , Bear, New Castle County, Delaware, 19701, United States"
39788,825,,,Loveville,Road,,New Castle County,825 Loveville Rd,,Hockessin,Delaware,19707,DE,"825 LOVEVILLE RD, HOCKESSIN, DE 19707",39.77772328681023,-75.66646002039532,POINT (-75.66646002039532 39.77772328681023),"825,  Loveville Road , Hockessin, New Castle County, Delaware, 19707, United States"
39789,1300,,,Paper Mill,Road,,New Castle County,1300 Paper Mill Rd,,Newark,Delaware,19711,DE,"1300 PAPER MILL RD, NEWARK, DE 19711",39.745383145324446,-75.71417687628595,POINT (-75.71417687628595 39.74538314532445),"1300,  Paper Mill Road , Newark, New Castle County, Delaware, 19711, United States"
39790,14511,,,Sycamore,Road,,Sussex County,14511 Sycamore Rd,,Laurel,Delaware,19956,DE,"14511 SYCAMORE RD, LAUREL, DE 19956",38.59685724932245,-75.49368620726572,POINT (-75.49368620726572 38.59685724932245),"14511,  Sycamore Road , Laurel, Sussex County, Delaware, 19956, United States"
39791,21777,,,Sussex Pines,Road,,Sussex County,21777 Sussex Pines Rd,,Georgetown,Delaware,19947,DE,"21777 SUSSEX PINES RD, GEORGETOWN, DE 19947",38.69714117909739,-75.36814022874563,POINT (-75.36814022874563 38.69714117909739),"21777,  Sussex Pines Road , Georgetown, Sussex County, Delaware, 19947, United States"
39792,28157,,,Lighthouse,Xing,,Sussex County,28157 Lighthouse Xing,,Dagsboro,Delaware,19939,DE,"28157 LIGHTHOUSE XING, DAGSBORO, DE 19939",38.54477472572374,-75.2608556677501,POINT (-75.26085566775011 38.54477472572374),"28157,  Lighthouse Xing , Dagsboro, Sussex County, Delaware, 19939, United States"
39793,129,West,,4th,Street,,Sussex County,129 W 4Th St,,Lewes,Delaware,19958,DE,"129 W 4TH ST, LEWES, DE 19958",38.772882047845215,-75.1423401669516,POINT (-75.1423401669516 38.77288204784521),"129,West  4th Street , Lewes, Sussex County, Delaware, 19958, United States"
