location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address,Primary RUCA Code 2010,rural,tribal,rural_tribal
42319,9112,West,,Market,Street,,Guilford County,9112 West Market Street,,Colfax,North Carolina,27235,NC,"9112 WEST MARKET STREET, COLFAX, NC 27235",36.10879298483321,-80.00788791101951,POINT (-80.00788791101951 36.10879298483321),"9112,West  Market Street , Colfax, Guilford County, North Carolina, 27235, United States",1.0,0,0,0
34382,115,West,,Liberty,Street,,Rowan County,115 W Liberty St,,Salisbury,North Carolina,28144,NC,"115 W LIBERTY ST, SALISBURY, NC 28144",35.669485424200154,-80.46857550466501,POINT (-80.46857550466501 35.66948542420015),"115,West  Liberty Street , Salisbury, Rowan County, North Carolina, 28144, United States",1.0,0,0,0
21719,122,East,,Main,Avenue,,Burleigh County,122 E Main Ave,,Bismarck,North Dakota,58503,ND,"122 E MAIN AVE, Bismarck, North Dakota 58503",46.8054970000001,-100.789611,POINT (-100.789611 46.8054970000001),"122,East  Main Avenue , Bismarck, Burleigh County, North Dakota, 58503, United States",1.0,0,0,0
3786,2856,,,Washington,Street,North,Grand Forks County,2856 Washington St N,,Grand Forks,North Dakota,58201,ND,"2856 WASHINGTON ST N, GRAND FORKS, ND 58201",47.89767499975308,-97.0490150001009,POINT (-97.04901500010089 47.89767499975308),"2856,  Washington Street North, Grand Forks, Grand Forks County, North Dakota, 58201, United States",1.0,0,0,0
3239,104,,,4th,Street,Southeast,Pierce County,104 4Th St Se,,Rugby,North Dakota,58368,ND,"104 4TH ST SE, RUGBY, ND 58368",48.36667000007,-99.9959130002831,POINT (-99.9959130002831 48.36667000007),"104,  4th Street Southeast, Rugby, Pierce County, North Dakota, 58368, United States",7.0,1,0,0
21512,123,,,1st,Avenue,Southeast,Golden Valley County,123 1St Avenue Se,,Golva,North Dakota,58632,ND,"123 1ST AVENUE SE, Golva, North Dakota 58632",46.9136539400001,-104.00480416,POINT (-104.00480416 46.9136539400001),"123,  1st Avenue Southeast, Golva, Golden Valley County, North Dakota, 58632, United States",10.0,1,0,0
21656,1009,,,Dakota,Avenue,,Traill County,1009 Dakota Ave,,Mayville,North Dakota,58257,ND,"1009 DAKOTA AVE, Mayville, North Dakota 58257",47.635568,-97.4533049999999,POINT (-97.4533049999999 47.635568),"1009,  Dakota Avenue , Mayville, Traill County, North Dakota, 58257, United States",2.0,0,0,0
20819,202,North,,Main,Street,,Grant County,202 North Main St,,Carson,North Dakota,58529,ND,"202 NORTH MAIN ST, Carson, North Dakota 58529",46.421569,-101.565867,POINT (-101.565867 46.421569),"202,North  Main Street , Carson, Grant County, North Dakota, 58529, United States",10.0,1,0,0
29627,1609,,,32nd,Avenue,South,Cass County,1609 32Nd Ave S,,Fargo,North Dakota,58103,ND,"1609 32nd Ave S, Fargo, ND 58103",46.83341099984402,-96.80581200027513,POINT (-96.80581200027513 46.83341099984402),"1609,  32nd Avenue South, Fargo, Cass County, North Dakota, 58103, United States",1.0,0,0,0
4181,122,East,,Broadway,Avenue,,Burleigh County,122 E Broadway Ave,,Bismarck,North Dakota,58501,ND,"122 E BROADWAY AVE, BISMARCK, ND 58501",46.8065559998686,-100.78961100025042,POINT (-100.7896110002504 46.8065559998686),"122,East  Broadway Avenue , Bismarck, Burleigh County, North Dakota, 58501, United States",1.0,0,0,0
21835,3800,,,51st,Avenue,South,Cass County,3800 51St Ave S,,Fargo,North Dakota,58102,ND,"3800 51ST AVE S, Fargo, North Dakota 58102",46.8050600000001,-96.8746169999999,POINT (-96.8746169999999 46.8050600000001),"3800,  51st Avenue South, Fargo, Cass County, North Dakota, 58102, United States",1.0,0,0,0
16964,800,North,,6th,Street,,Richland County,800 N 6Th St,,Wahpeton,North Dakota,58076,ND,"800 N 6TH ST, WAHPETON, ND 58076",46.27596376500003,-96.607896424,POINT (-96.607896424 46.27596376500003),"800,North  6th Street , Wahpeton, Richland County, North Dakota, 58076, United States",4.0,1,0,0
